TABELA;DESCRICAO;QTD_COLUNAS
ACERTO_LEI;;2
ACESSOSUSU;;2
BLOQUEIOFU;;2
CFCES000  ;;8
CFCES001  ;;5
CFCES002  ;;4
CFCES003  ;;6
CFCES004  ;;10
CFCES005  ;;5
CFCES006  ;;2
CNESHIST  ;;3
CONSISTE  ;;27
FCESGEST  ;;23
GFCES001  ;;3
GFCES002  ;;2
HISTORICOO;;8
HT_CFCES00;;2
HT_CFCES00;;2
HT_LFCES00;;2
HT_LFCES01;;2
HT_LFCES04;;5
HT_LFCES05;;4
HT_NFCES00;;2
HT_NFCES00;;2
HT_NFCES01;;2
HT_NFCES02;;2
HT_NFCES07;;3
HT_NFCES11;;3
INFOGESTAO;;1
LFCES000  ;;40
LFCES002  ;;11
LFCES004  ;;61
LFCES004_T;;44
LFCES005  ;;22
LFCES005_T;;13
LFCES006  ;;7
LFCES007  ;;7
LFCES008  ;;6
LFCES009  ;;7
LFCES012  ;;24
LFCES013  ;;44
LFCES014  ;;8
LFCES015  ;;8
LFCES018  ;;60
LFCES018_T;;8
LFCES019  ;;10
LFCES020  ;;11
LFCES021  ;;20
LFCES021_T;;20
LFCES023  ;;3
LFCES027  ;;46
LFCES029  ;;2
LFCES030  ;;2
LFCES031  ;;2
LFCES032  ;;15
LFCES033  ;;2
LFCES034  ;;7
LFCES035  ;;16
LFCES037  ;;30
LFCES038  ;;20
LFCES039  ;;26
LFCES040  ;;6
LFCES041  ;;6
LFCES043  ;;10
LFCES044  ;;7
LFCES045  ;;9
LFCES045_T;;5
LFCES046  ;;8
LFCES047  ;;8
LFCES048  ;;5
LFCES049  ;;7
LFCES050  ;;7
LFCES051  ;;8
LFCES052  ;;5
LFCES053  ;;9
LFCES055  ;;12
LFCES055_T;;12
LFCES056  ;;19
LFCES057  ;;7
LFCES058  ;;6
LFCES059  ;;16
LFCES060  ;;10
LFCES061  ;;12
LFCES062  ;;4
LFCES063  ;;4
LFCES064  ;;9
LFCES065  ;;6
LFCES066  ;;10
LFCES069  ;;7
LFCES070  ;;9
LFCES072  ;;8
LFCES073  ;;7
LFCES074  ;;8
LFCES075  ;;9
LFCES076  ;;6
LFCES077  ;;7
LFCES078  ;;6
LFCES079  ;;20
LFCES080  ;;21
LFCES081  ;;12
LFCES082  ;;27
LFCES083  ;;5
LFCES084  ;;13
LFCES085  ;;4
LFCES086  ;;20
LFCES087  ;;4
LFCES088  ;;5
LFCES089  ;;7
LFCES090  ;;19
LFCES091  ;;8
LFCES092  ;;6
LFCES093  ;;8
LFCES094  ;;8
LFCES095  ;;7
LFCES096  ;;10
LFCES097  ;;10
LFCES098  ;;6
LFCES099  ;;6
LFCES100  ;;4
LFCES101  ;;9
LFCES102  ;;4
LFCES103  ;;7
LFCES104  ;;10
LOGCONSIST;;2
MENSAGEM  ;;3
NFCES001  ;;3
NFCES002  ;;2
NFCES003  ;;2
NFCES004  ;;2
NFCES005  ;;20
NFCES007  ;;2
NFCES010  ;;2
NFCES011  ;;2
NFCES012  ;;3
NFCES013  ;;3
NFCES014  ;;2
NFCES015  ;;2
NFCES016  ;;2
NFCES017  ;;2
NFCES018  ;;4
NFCES019  ;;2
NFCES020  ;;2
NFCES021  ;;4
NFCES022  ;;3
NFCES023  ;;3
NFCES024  ;;2
NFCES025  ;;2
NFCES026  ;;5
NFCES027  ;;2
NFCES028  ;;3
NFCES029  ;;2
NFCES031  ;;2
NFCES032  ;;2
NFCES033  ;;2
NFCES035  ;;3
NFCES036  ;;2
NFCES037  ;;2
NFCES038  ;;2
NFCES041  ;;4
NFCES041_T;;5
NFCES046  ;;3
NFCES047  ;;2
NFCES048  ;;3
NFCES049  ;;4
NFCES050  ;;2
NFCES051  ;;5
NFCES052  ;;5
NFCES053  ;;2
NFCES054  ;;5
NFCES055  ;;3
NFCES056  ;;3
NFCES057  ;;4
NFCES058  ;;8
NFCES059  ;;5
NFCES063  ;;1
NFCES064  ;;1
NFCES067  ;;1
NFCES068  ;;1
NFCES069  ;;5
NFCES070  ;;2
NFCES071  ;;7
NFCES071_T;;4
NFCES072  ;;1
NFCES073  ;;1
NFCES073_T;;3
NFCES074  ;;1
NFCES075  ;;7
NFCES076  ;;4
NFCES077  ;;7
NFCES079  ;;1
NFCES080  ;;5
NFCES081  ;;7
NFCES082  ;;5
NFCES083  ;;19
NFCES084  ;;10
NFCES085  ;;2
NFCES086  ;;2
NFCES088  ;;13
NFCES090  ;;2
NFCES091  ;;2
NFCES092  ;;1
NFCES093  ;;4
NFCES093_T;;5
NFCES094  ;;2
NFCES095  ;;2
NFCES096  ;;4
NFCES098  ;;2
NFCES099  ;;3
NFCES100  ;;4
NFCES101  ;;12
NFCES102  ;;1
NFCES103  ;;3
NFCES104  ;;10
NFCES105  ;;3
NFCES106  ;;2
NFCES107  ;;4
NFCES108  ;;4
NFCES109  ;;8
NFCES110  ;;12
NFCES111  ;;1
NFCES112  ;;2
NFCES113  ;;1
NFCES114  ;;2
NFCES115  ;;7
NFCES116  ;;3
NFCES117  ;;3
NFCES118  ;;4
NFCES119  ;;3
NFCES120  ;;2
NFCES121  ;;2
NFCES122  ;;2
NFCES123  ;;2
NFCES124  ;;2
NFCES125  ;;2
NFCES126  ;;5
SEMAFOROFU;;3
TB_COMPARA;;15
TFCES000  ;;6
TFCES001  ;;2
TFCES002  ;;6
TFCES003  ;;1
TFCES004  ;;2
TFCES005  ;;4
TRFCES02  ;;7
TRFCES05  ;;7
TRFCES07  ;;7
TRFCES08  ;;6
TRFCES09  ;;3
TRFCES10  ;;6
USUARIOS  ;;3
